layer,model,rank_type,language,cosine,config
7,mbert,top5,nya,0.9642743511380616,use0_use0_con4_max500_bat32
7,mbert,worst5,bbj,0.9078773715352509,use0_use0_con4_max500_bat32
7,mbert,worst5,yor,0.9175496938133724,use0_use0_con4_max500_bat32
7,mbert,worst5,pcm,0.9192407958261114,use0_use0_con4_max500_bat32
7,mbert,worst5,fon,0.9349692290484701,use0_use0_con4_max500_bat32
7,mbert,worst5,ewe,0.9396097858266721,use0_use0_con4_max500_bat32
8,mbert,top5,lug,0.9718636907912115,use0_use0_con4_max500_bat32
8,mbert,top5,twi,0.9698650739803463,use0_use0_con4_max500_bat32
8,mbert,top5,luo,0.968368203973811,use0_use0_con4_max500_bat32
8,mbert,top5,kin,0.9671033257341789,use0_use0_con4_max500_bat32
8,mbert,top5,nya,0.9646581031515131,use0_use0_con4_max500_bat32
8,mbert,worst5,bbj,0.9117041923428457,use0_use0_con4_max500_bat32
8,mbert,worst5,yor,0.9161420595561764,use0_use0_con4_max500_bat32
8,mbert,worst5,pcm,0.9199808192911378,use0_use0_con4_max500_bat32
8,mbert,worst5,fon,0.9354217258411262,use0_use0_con4_max500_bat32
8,mbert,worst5,mos,0.9424200570704359,use0_use0_con4_max500_bat32
9,mbert,top5,lug,0.9774313922133802,use0_use0_con4_max500_bat32
9,mbert,top5,kin,0.9771443524257091,use0_use0_con4_max500_bat32
9,mbert,top5,twi,0.9767053143789873,use0_use0_con4_max500_bat32
9,mbert,top5,luo,0.9764285146750686,use0_use0_con4_max500_bat32
9,mbert,top5,nya,0.9740752289490107,use0_use0_con4_max500_bat32
9,mbert,worst5,bbj,0.9344734719676883,use0_use0_con4_max500_bat32
9,mbert,worst5,pcm,0.9407463469880513,use0_use0_con4_max500_bat32
9,mbert,worst5,yor,0.9420347854091942,use0_use0_con4_max500_bat32
9,mbert,worst5,fon,0.9537293590911506,use0_use0_con4_max500_bat32
9,mbert,worst5,ewe,0.9549913223003981,use0_use0_con4_max500_bat32
10,mbert,top5,lug,0.9828750730494654,use0_use0_con4_max500_bat32
10,mbert,top5,luo,0.9819136932992341,use0_use0_con4_max500_bat32
10,mbert,top5,kin,0.9810516252914465,use0_use0_con4_max500_bat32
10,mbert,top5,twi,0.9798959891754203,use0_use0_con4_max500_bat32
10,mbert,top5,nya,0.9775323668585992,use0_use0_con4_max500_bat32
10,mbert,worst5,bbj,0.9468422524020533,use0_use0_con4_max500_bat32
10,mbert,worst5,pcm,0.9508675469831535,use0_use0_con4_max500_bat32
10,mbert,worst5,yor,0.9546276845885254,use0_use0_con4_max500_bat32
10,mbert,worst5,fon,0.9627238319375166,use0_use0_con4_max500_bat32
10,mbert,worst5,xho,0.9636927260689752,use0_use0_con4_max500_bat32
11,mbert,top5,luo,0.9832492064139322,use0_use0_con4_max500_bat32
11,mbert,top5,twi,0.9825101521093754,use0_use0_con4_max500_bat32
11,mbert,top5,lug,0.9820703818276227,use0_use0_con4_max500_bat32
11,mbert,top5,kin,0.9809332904127335,use0_use0_con4_max500_bat32
11,mbert,top5,nya,0.9791489290328682,use0_use0_con4_max500_bat32
11,mbert,worst5,bbj,0.9510885006080454,use0_use0_con4_max500_bat32
11,mbert,worst5,pcm,0.9566004804614388,use0_use0_con4_max500_bat32
11,mbert,worst5,yor,0.9581505969150685,use0_use0_con4_max500_bat32
11,mbert,worst5,xho,0.9668890777968321,use0_use0_con4_max500_bat32
11,mbert,worst5,ewe,0.9675210890444084,use0_use0_con4_max500_bat32
12,mbert,top5,lug,0.9283111294572448,use0_use0_con4_max500_bat32
12,mbert,top5,luo,0.9163176994773329,use0_use0_con4_max500_bat32
12,mbert,top5,twi,0.9134024225094973,use0_use0_con4_max500_bat32
12,mbert,top5,kin,0.906589376205255,use0_use0_con4_max500_bat32
12,mbert,top5,ibo,0.8990832306681235,use0_use0_con4_max500_bat32
12,mbert,worst5,bbj,0.8019032110482589,use0_use0_con4_max500_bat32
12,mbert,worst5,yor,0.8101723436696582,use0_use0_con4_max500_bat32
12,mbert,worst5,pcm,0.8202496933958762,use0_use0_con4_max500_bat32
12,mbert,worst5,xho,0.841277385670115,use0_use0_con4_max500_bat32
12,mbert,worst5,mos,0.8475222816305301,use0_use0_con4_max500_bat32
